DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,BLACK ROCK RD,35,06903,-73.55793406,41.17802787
,BLACK ROCK RD,79,06903,-73.55971325,41.17714803
,BLACK ROCK RD,86,06903,-73.55946855,41.17657387
,BLACK ROCK RD,99,06903,-73.56094769,41.17682605
,BLACK ROCK RD,111,06903,-73.56094725,41.17624448
,CRAIG CT,37,06903,-73.56228908,41.17611537
,BLACK ROCK RD,116,06903,-73.56027838,41.17579846
,CRAIG CT,41,06903,-73.56298211,41.17587249
,CRAIG CT,2,06903,-73.56389542,41.17555534
,CRAIG CT,35,06903,-73.56168606,41.17512106
,CRAIG CT,1,06903,-73.56414058,41.17521429
,CRAIG CT,15,06903,-73.56307841,41.17532568
,HIGH RIDGE RD,3196,06903,-73.56507668,41.17490867
,CRAIG CT,21,06903,-73.56339541,41.17494706
,FAIRWAY DR,15,06903,-73.56548706,41.17455273
,CRAIG CT,7,06903,-73.56419621,41.1746773
,FAIRWAY DR,29,06903,-73.56602763,41.17437573
,RIDING STABLE TRL,54,06903,-73.56222641,41.174188
,HIGH RIDGE RD,3153,06903,-73.5631184,41.17429959
,FAIRWAY DR,45,06903,-73.56675085,41.17418345
,HIGH RIDGE RD,3151,06903,-73.56406222,41.17422892
,FAIRWAY DR,57,06903,-73.56728893,41.17387631
,FAIRWAY DR,10,06903,-73.56509711,41.17390729
,RIDING STABLE TRL,46,06903,-73.56251105,41.17382718
,FAIRWAY DR,69,06903,-73.56771518,41.17357957
,FAIRWAY DR,20,06903,-73.56525961,41.17251588
,FAIRWAY DR,24,06903,-73.56551179,41.17300337
,FAIRWAY DR,28,06903,-73.56581117,41.17374322
,HIGH RIDGE RD,3145,06903,-73.56326442,41.17356807
,RIDING STABLE TRL,41,06903,-73.56140661,41.17306918
,HIGH RIDGE RD,3143,06903,-73.56406442,41.17346941
,FAIRWAY DR,83,06903,-73.56821315,41.17335129
,FAIRWAY DR,48,06903,-73.566337,41.17349238
,FAIRWAY DR,16,06903,-73.56474889,41.17321721
,FAIRWAY DR,97,06903,-73.56873713,41.1731525
,RIDING STABLE TRL,45,06903,-73.56206932,41.1732499
,FAIRWAY DR,54,06903,-73.56627869,41.17244408
,FAIRWAY DR,60,06903,-73.56684096,41.17318154
,CALASS LN,53,06903,-73.55959593,41.17284602
,HIGH RIDGE RD,3127,06903,-73.56376822,41.17302161
,CALASS LN,56,06903,-73.56095504,41.17280843
,FAIRWAY DR,107,06903,-73.56922229,41.17288176
,FAIRWAY DR,74,06903,-73.56720012,41.17284101
,RIDING STABLE TRL,25,06903,-73.56280975,41.17290752
,FAIRWAY DR,111,06903,-73.56968996,41.17259483
,FAIRWAY DR,86,06903,-73.56781505,41.17272171
,FAIRWAY DR,115,06903,-73.57050084,41.17243946
,HIGH RIDGE RD,3116,06903,-73.56412181,41.17234373
,FAIRWAY DR,96,06903,-73.56827925,41.17253674
,HIGH RIDGE RD,3137,06903,-73.56340147,41.17245981
,HIGH RIDGE RD,3083,06903,-73.56186553,41.17238776
,FAIRWAY DR,108,06903,-73.56874578,41.17206542
,GREENS CIR,56,06903,-73.56674254,41.17214079
,CALASS LN,37,06903,-73.55966514,41.17197803
,CALASS LN,52,06903,-73.56098645,41.17212845
,FAIRWAY DR,121,06903,-73.56970224,41.17215566
,GREENS CIR,60,06903,-73.56608435,41.17204496
,COUNTRY CLUB RD,151,06903,-73.57137746,41.17206369
,HIGH RIDGE RD,3099,06903,-73.56337875,41.17202324
,GREENS CIR,50,06903,-73.56744278,41.17202105
,GREENS CIR,32,06903,-73.5680525,41.17170859
,FAIRWAY DR,137,06903,-73.56971359,41.17174662
,COVENTRY RD,7,06903,-73.57223654,41.17137136
,COUNTRY CLUB RD,141,06903,-73.5713354,41.17162467
,CALASS LN,44,06903,-73.5614762,41.17153161
,GREENS CIR,10,06903,-73.56881333,41.17155031
,GREENS CIR,61,06903,-73.56568951,41.17162566
,HIGH RIDGE RD,3096,06903,-73.5650894,41.17124856
,HIGH RIDGE RD,3081,06903,-73.5630014,41.17141539
,CALASS LN,20,06903,-73.56045321,41.17143099
,HIGH RIDGE RD,3090,06903,-73.56584091,41.1709307
,CALASS LN,11,06903,-73.55956577,41.1709507
,GREENS CIR,55,06903,-73.56670808,41.17134372
,COVENTRY RD,15,06903,-73.57274933,41.17127247
,FAIRWAY DR,145,06903,-73.56966798,41.17133251
,COUNTRY CLUB RD,133,06903,-73.57120972,41.17119894
,TRINITY PASS RD,68,06903,-73.5608308,41.17046954
,GREENS CIR,35,06903,-73.56753673,41.17114481
,COVENTRY RD,33,06903,-73.57322457,41.17088527
,TRINITY PASS RD,28,06903,-73.56193784,41.17052779
,GREENS CIR,21,06903,-73.56812257,41.17093858
,TRINITY PASS RD,2,06903,-73.56295294,41.17112468
,TRINITY PASS RD,10,06903,-73.56243742,41.17100003
,HIGH RIDGE RD,3070,06903,-73.56345265,41.17096451
,TRINITY PASS RD,48,06903,-73.5614757,41.17023914
,COUNTRY CLUB RD,111,06903,-73.57080353,41.17082207
,COVENTRY RD,49,06903,-73.5739941,41.17062465
,FAIRWAY DR,161,06903,-73.56967911,41.17084183
,FAIRWAY DR,164,06903,-73.56879616,41.17077714
,TRINITY PASS RD,78,06903,-73.56034213,41.17071502
,COUNTRY CLUB RD,112,06903,-73.57191524,41.17062181
,COVENTRY RD,59,06903,-73.5744848,41.17042112
,COVENTRY RD,24,06903,-73.57248622,41.17042592
,HIGH RIDGE RD,3065,06903,-73.56292209,41.17074187
,HIGH RIDGE RD,3064,06903,-73.5634745,41.17071648
